station,latitude,longitude,height_m,x_m,y_m,z_m
01KR,45.1502000137,39.6159089924,63.7714353893,3470994.218,2873079.87,4499181.314
02IG,54.8160859222,56.4159824553,145.952488247,2037523.023,3068575.3809,5189732.71
02KR,53.3867645327,58.8412636354,434.295615545,1972616.419,3262477.141,5096679.8
02ME,52.9580459508,55.930199619,173.655067894,2157066.326,3189593.695,5067870.939
02RA,54.0694429397,54.9456990554,113.878637175,2154411.177,3070620.144,5141375.474
02SA,53.5144014858,58.8288874931,429.082321719,1967412.403,3252283.471,5105135.677
02TA,56.2932134791,55.8526557852,175.200172067,1991476.999,2936170.179,5282775.012
02UF,54.7363381986,55.9841859851,203.464872377,2064666.18,3059171.827,5184659.281
07N2,43.4807147209,43.5723779551,551.669376781,3358633.035,3195296.892,4366786.911
10PE,61.8178740742,34.1741382164,100.026878884,2498674.565,1696449.255,5599046.135
11VO,67.5049447445,63.9167331016,222.103015725,1076059.1618,2198134.6974,5870393.5308
12IO,56.6764191072,47.9017609326,101.476605167,2354598.785,2606047.118,5306274.691
12KR,56.1573969169,48.3103100511,91.3504339466,2367975.146,2658720.113,5274298.044
12SE,56.9244409306,49.1350358459,195.373152812,2282875.851,2638682.634,5321476.461
13KR,54.3969541922,43.8321488498,137.481357532,2684555.724,2577289.479,5162702.548
13SA,54.2340768444,45.1548072359,189.100712519,2634755.812,2649032.092,5152168.582
14YA,62.0292869534,129.720184349,110.224600064,-1916712.44,2307037.128,5610144.155
15BE,43.1719400933,44.5635533617,531.822946227,3319618.356,3269425.797,4341816.073
16A2,54.8833286904,52.254625808,146.404249536,2251077.608,2907791.959,5194042.763
16AK,55.7150353281,54.0835924048,106.798796991,2112457.065,2916486.281,5246723.209
16AR,56.0774456406,49.9029298872,124.547801569,2297938.928,2729173.445,5269362.669
16AZ,54.8563969637,53.0687083494,214.992840995,2211033.683,2941473.232,5192373.613
16B3,54.915530778,49.9224030676,137.162250686,2365650.136,2811530.331,5196096.55
16BK,55.4002331298,48.1958163197,118.955249012,2419759.303,2705955.826,5226910.504
16BU,54.5357341566,52.7370777211,350.706706136,2245708.253,2951874.271,5171854.554
16C2,55.4451443079,49.7061616774,89.4383046385,2344923.292,2765641.521,5229723.847
16C3,54.6843961977,51.5119563324,207.611958558,2299860.268,2892559.393,5181322.188
16K2,55.8134668591,49.0488865076,75.3894854635,2354305.11,2712989.865,5252862.925
16KU,56.1841211328,50.9003138629,122.88522032,2243864.207,2761105.191,5275980.846
16MA,55.6549498054,51.3965737979,177.781632274,2250332.186,2818596.738,5243010.493
